store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,61.35,464.98,78,1,95,95,95,119,195,227,236
STORE_0002,P,368.28,484.64,98,1,131,131,131,163,267,311,323
STORE_0003,P,132.73,297.56,105,3,112,112,112,140,229,267,278
STORE_0004,P,465.43,385.13,64,2,119,119,119,149,243,283,294
STORE_0005,P,363.06,243.14,104,3,106,106,106,133,217,253,263
STORE_0006,P,408.1,305.88,92,3,105,105,105,131,215,250,260
STORE_0007,P,171.21,309.56,85,2,58,58,58,73,119,139,144
STORE_0008,P,286.33,160.94,108,2,104,104,104,130,213,248,257
STORE_0009,P,109.61,368.41,75,2,112,112,112,140,229,266,277
STORE_0010,P,387.1,194.1,72,2,65,65,65,81,133,155,161
STORE_0011,P,120.51,271.03,94,2,108,108,108,136,222,258,268
STORE_0012,P,480.54,79.07,116,1,110,110,110,138,225,262,272
STORE_0013,P,86.63,288.21,115,3,57,57,57,71,116,135,140
STORE_0014,P,124.93,7.26,102,2,141,141,141,176,288,335,348
STORE_0015,P,29.51,396.7,98,3,112,112,112,140,229,267,277
STORE_0016,P,16.83,423.01,86,2,58,58,58,73,119,139,144
STORE_0017,P,206.14,301.92,91,3,134,134,134,168,275,320,332
STORE_0018,P,479.5,450.16,84,3,99,99,99,124,203,237,246
STORE_0019,P,294.57,408.06,80,3,119,119,119,149,244,284,295
STORE_0020,P,36.78,350.7,82,3,126,126,126,158,258,300,312
STORE_0021,P,61.13,289.76,103,3,144,144,144,180,294,342,355
STORE_0022,P,151.6,50.22,99,2,85,85,85,107,175,203,211
STORE_0023,P,12.83,42.16,67,3,142,142,142,178,290,338,351
STORE_0024,P,395.23,10.94,88,1,54,54,54,67,110,128,133
STORE_0025,P,391.9,36.46,86,3,50,50,50,63,103,120,125
STORE_0026,P,96.39,201.62,88,3,68,68,68,85,138,161,167
STORE_0027,P,342.61,163.99,95,3,113,113,113,141,231,269,280
STORE_0028,P,284.34,255.76,100,1,87,87,87,108,177,206,214
STORE_0029,P,141.05,79.23,86,1,82,82,82,102,167,195,202
STORE_0030,P,13.13,443.51,81,1,119,119,119,149,243,283,294
STORE_0031,P,367.62,431.46,92,1,101,101,101,127,207,242,251
STORE_0032,P,212.73,360.89,92,1,123,123,123,153,251,292,303
STORE_0033,P,301.46,388.24,113,2,60,60,60,75,123,144,149
STORE_0034,P,207.75,399.2,89,2,77,77,77,96,158,184,191
STORE_0035,P,233.15,113.54,103,1,52,52,52,65,107,124,129
STORE_0036,P,274.24,259.23,78,1,122,122,122,153,250,291,302
STORE_0037,P,313.41,183.35,89,3,113,113,113,142,232,270,280
STORE_0038,P,322.74,222.28,103,2,53,53,53,67,109,127,132
STORE_0039,P,200.46,218.79,80,1,89,89,89,111,181,211,219
STORE_0040,P,335.21,268.29,83,1,143,143,143,179,292,340,353
STORE_0041,P,199.76,166.46,92,3,78,78,78,97,159,185,192
STORE_0042,P,44.68,396.22,108,2,74,74,74,92,151,176,183
STORE_0043,P,153.76,32.87,78,1,88,88,88,110,180,210,218
STORE_0044,P,344.31,300.58,114,1,123,123,123,153,251,292,303
STORE_0045,P,157.12,308.73,92,2,73,73,73,92,150,175,182
STORE_0046,P,290.17,320.01,91,2,73,73,73,91,149,174,180
STORE_0047,P,380.64,35.99,107,3,134,134,134,168,275,320,332
STORE_0048,P,494.74,69.59,62,2,106,106,106,132,217,252,262
STORE_0049,P,90.1,30.17,88,3,142,142,142,177,290,338,351
STORE_0050,P,49.32,223.59,61,2,111,111,111,139,228,265,275
STORE_0051,P,369.14,141.88,79,2,80,80,80,101,164,192,199
STORE_0052,P,78.36,4.37,95,3,120,120,120,150,246,286,297
STORE_0053,P,460.48,311.13,80,2,96,96,96,120,197,229,238
STORE_0054,P,78.89,296.52,72,2,83,83,83,104,170,199,206
STORE_0055,P,125.16,339.57,97,3,83,83,83,104,170,198,206
STORE_0056,P,68.0,304.13,116,2,113,113,113,141,231,269,280
STORE_0057,P,217.42,278.86,78,2,108,108,108,135,221,257,267
STORE_0058,P,430.41,125.47,114,1,94,94,94,117,192,223,232
STORE_0059,P,424.39,72.39,64,1,56,56,56,70,114,133,138
STORE_0060,P,377.78,435.72,118,2,141,141,141,176,287,335,347
STORE_0061,P,146.61,327.01,90,1,131,131,131,164,268,312,324
STORE_0062,P,367.21,115.23,87,2,57,57,57,72,117,137,142
STORE_0063,P,146.4,3.14,94,1,92,92,92,115,187,218,227
STORE_0064,P,110.4,141.07,73,3,90,90,90,112,184,214,222
STORE_0065,P,212.57,347.68,86,2,130,130,130,163,267,311,322
STORE_0066,P,456.59,473.88,111,3,56,56,56,70,114,133,138
STORE_0067,P,102.21,420.83,105,1,53,53,53,67,109,127,132
STORE_0068,P,317.51,206.4,60,3,106,106,106,132,217,252,262
STORE_0069,P,431.41,98.04,60,2,81,81,81,101,166,193,201
STORE_0070,P,455.34,183.44,60,2,69,69,69,87,142,165,172
STORE_0071,M,53.22,106.19,120,3,515,515,515,547,997,1326,1472
STORE_0072,M,199.66,386.55,158,4,119,119,119,127,231,307,341
STORE_0073,M,346.6,372.18,169,5,649,649,649,690,1257,1671,1855
STORE_0074,M,471.36,74.63,122,4,320,320,320,340,619,823,914
STORE_0075,M,500.0,410.7,180,5,295,295,295,313,571,759,842
STORE_0076,M,125.47,487.55,170,3,535,535,535,569,1036,1377,1529
STORE_0077,M,315.67,426.1,141,4,113,113,113,120,219,291,323
STORE_0078,M,174.35,301.03,152,4,424,424,424,450,821,1091,1211
STORE_0079,M,62.84,390.23,160,5,374,374,374,397,724,962,1068
STORE_0080,M,243.7,426.67,177,5,536,536,536,570,1038,1379,1531
STORE_0081,M,392.09,15.03,136,3,734,734,734,781,1422,1891,2099
STORE_0082,M,331.63,332.2,163,4,746,746,746,793,1445,1920,2131
STORE_0083,M,327.45,62.87,149,5,188,188,188,200,364,483,537
STORE_0084,M,313.49,242.13,148,5,707,707,707,752,1370,1821,2022
STORE_0085,M,438.92,428.66,146,4,145,145,145,154,281,374,415
STORE_0086,M,358.97,429.45,138,3,644,644,644,685,1247,1658,1840
STORE_0087,M,192.65,308.67,170,4,667,667,667,710,1293,1718,1907
STORE_0088,M,500.0,460.0,174,4,525,525,525,558,1017,1352,1500
STORE_0089,M,257.57,151.57,159,5,386,386,386,410,748,994,1104
STORE_0090,M,500.0,341.12,154,4,352,352,352,374,682,906,1006
STORE_0091,M,157.82,267.65,160,3,519,519,519,552,1005,1336,1483
STORE_0092,M,140.54,188.77,152,5,387,387,387,412,750,997,1107
STORE_0093,M,170.54,206.7,162,5,403,403,403,428,780,1036,1151
STORE_0094,M,40.31,329.34,160,4,196,196,196,209,380,506,561
STORE_0095,M,500.0,62.21,144,5,394,394,394,419,763,1014,1126
STORE_0096,G,466.34,144.19,203,5,700,700,700,700,1225,1790,2157
STORE_0097,G,139.66,0.0,214,6,592,592,592,592,1036,1515,1826
STORE_0098,G,240.0,63.94,240,6,1087,1087,1087,1087,1902,2781,3351
