store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,400.85,174.9,93,2,113,113,113,141,231,269,279
STORE_0002,P,268.73,180.69,120,3,94,94,94,117,191,223,231
STORE_0003,P,227.8,477.94,66,2,72,72,72,90,147,171,177
STORE_0004,P,112.98,14.95,74,1,54,54,54,68,111,129,134
STORE_0005,P,164.32,270.94,108,3,140,140,140,175,287,334,347
STORE_0006,P,192.58,50.33,84,3,67,67,67,84,137,159,165
STORE_0007,P,146.82,164.61,80,1,104,104,104,130,213,249,258
STORE_0008,P,220.29,431.59,78,2,131,131,131,164,269,313,325
STORE_0009,P,495.55,64.15,83,2,144,144,144,180,295,343,357
STORE_0010,P,363.89,367.36,117,2,69,69,69,86,141,164,170
STORE_0011,P,226.79,110.26,93,3,64,64,64,80,131,152,158
STORE_0012,P,375.56,244.83,81,2,62,62,62,78,127,148,154
STORE_0013,P,308.04,271.7,69,3,103,103,103,129,212,246,256
STORE_0014,P,446.08,193.89,88,3,127,127,127,159,260,303,315
STORE_0015,P,73.13,37.62,79,1,102,102,102,128,209,244,253
STORE_0016,P,414.33,171.66,108,2,56,56,56,70,115,134,139
STORE_0017,P,277.04,471.06,104,1,135,135,135,169,276,321,333
STORE_0018,P,118.22,252.73,90,1,76,76,76,94,154,180,187
STORE_0019,P,167.79,301.61,79,3,89,89,89,111,182,212,220
STORE_0020,P,89.46,311.42,77,1,144,144,144,181,295,344,357
STORE_0021,P,394.4,493.94,95,2,138,138,138,173,283,329,342
STORE_0022,P,162.52,179.52,84,2,80,80,80,101,164,192,199
STORE_0023,P,251.55,24.14,68,1,128,128,128,160,261,304,316
STORE_0024,P,222.71,417.23,91,3,82,82,82,102,167,194,202
STORE_0025,P,423.49,220.13,64,1,104,104,104,130,212,247,257
STORE_0026,P,15.86,31.51,74,1,103,103,103,129,211,246,256
STORE_0027,P,439.01,491.31,87,2,144,144,144,179,293,342,355
STORE_0028,P,159.74,365.29,97,2,100,100,100,125,205,239,248
STORE_0029,P,48.29,48.94,97,3,116,116,116,145,237,276,287
STORE_0030,P,330.19,71.08,76,1,63,63,63,78,128,149,155
STORE_0031,P,312.59,238.82,102,3,147,147,147,184,300,350,363
STORE_0032,P,493.62,148.68,94,3,136,136,136,170,278,324,336
STORE_0033,P,177.25,43.92,88,1,101,101,101,127,207,241,250
STORE_0034,P,409.21,361.54,87,1,104,104,104,130,213,248,257
STORE_0035,P,491.36,363.46,96,3,122,122,122,153,250,292,303
STORE_0036,M,82.61,19.04,149,5,175,175,175,186,340,452,501
STORE_0037,M,437.36,500.0,159,4,460,460,460,489,891,1184,1315
STORE_0038,M,164.02,381.51,123,5,485,485,485,515,939,1247,1385
STORE_0039,M,373.56,222.02,149,4,631,631,631,671,1222,1624,1803
STORE_0040,M,109.52,371.8,164,5,565,565,565,600,1093,1453,1613
STORE_0041,M,442.06,375.93,168,5,421,421,421,448,816,1085,1204
STORE_0042,M,225.84,0.0,167,3,207,207,207,221,402,534,593
STORE_0043,M,0.0,0.0,127,3,155,155,155,165,300,399,443
STORE_0044,M,500.0,345.96,161,4,369,369,369,393,715,951,1055
STORE_0045,M,180.08,414.51,174,3,741,741,741,788,1436,1909,2119
STORE_0046,M,249.04,0.0,148,4,724,724,724,770,1403,1865,2070
STORE_0047,M,5.87,78.96,141,5,601,601,601,639,1163,1546,1717
STORE_0048,G,0.0,6.73,228,6,1001,1001,1001,1001,1753,2562,3087
STORE_0049,G,186.15,0.0,220,5,911,911,911,911,1595,2332,2809
STORE_0050,G,132.87,118.11,188,5,1055,1055,1055,1055,1846,2699,3251
