store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,379.32,492.16,98,3,117,117,117,146,240,279,290
STORE_0002,P,396.69,418.82,65,1,124,124,124,155,253,295,306
STORE_0003,P,298.43,208.39,104,2,137,137,137,171,280,326,338
STORE_0004,P,309.22,137.71,107,2,72,72,72,90,146,171,177
STORE_0005,P,246.87,203.64,100,3,115,115,115,143,234,273,283
STORE_0006,P,13.94,377.52,76,2,138,138,138,173,283,329,342
STORE_0007,P,375.04,455.62,105,2,63,63,63,79,129,150,156
STORE_0008,P,489.69,405.78,116,2,90,90,90,113,184,215,223
STORE_0009,P,109.09,42.87,111,2,51,51,51,64,105,122,127
STORE_0010,P,101.92,436.1,98,3,140,140,140,176,287,334,347
STORE_0011,P,360.7,413.42,72,1,112,112,112,140,229,267,277
STORE_0012,P,387.33,377.97,83,3,137,137,137,171,280,326,339
STORE_0013,P,259.26,72.56,78,2,121,121,121,152,248,289,300
STORE_0014,P,73.61,377.65,76,2,87,87,87,109,178,207,215
STORE_0015,P,315.63,205.99,92,2,103,103,103,129,212,246,256
STORE_0016,P,43.93,10.4,95,3,124,124,124,155,254,296,308
STORE_0017,P,26.81,64.7,81,2,65,65,65,81,132,154,160
STORE_0018,P,112.01,148.8,99,2,61,61,61,76,124,145,151
STORE_0019,P,267.52,290.84,96,2,78,78,78,98,160,186,193
STORE_0020,P,23.41,194.78,102,2,141,141,141,176,287,335,348
STORE_0021,P,187.04,64.74,67,3,123,123,123,154,252,294,305
STORE_0022,P,42.08,230.08,93,1,64,64,64,79,130,151,157
STORE_0023,P,462.32,144.48,82,1,112,112,112,140,229,267,277
STORE_0024,P,93.46,416.47,68,3,68,68,68,84,138,161,167
STORE_0025,P,334.38,268.61,78,1,54,54,54,68,111,129,134
STORE_0026,P,414.96,101.85,95,3,136,136,136,170,278,323,336
STORE_0027,P,340.34,96.13,75,3,85,85,85,106,174,202,210
STORE_0028,P,74.41,197.29,91,2,110,110,110,138,225,263,273
STORE_0029,P,171.83,319.45,86,2,76,76,76,95,156,182,189
STORE_0030,P,438.96,30.82,107,1,130,130,130,163,266,310,322
STORE_0031,P,162.2,213.76,99,1,129,129,129,161,264,307,319
STORE_0032,P,36.45,184.83,91,1,61,61,61,76,124,145,150
STORE_0033,P,493.88,469.49,111,1,63,63,63,79,129,150,156
STORE_0034,P,40.87,218.23,71,2,51,51,51,64,105,122,127
STORE_0035,P,131.14,416.46,87,3,58,58,58,73,119,139,144
STORE_0036,P,325.98,349.3,80,1,73,73,73,91,148,173,179
STORE_0037,P,226.48,6.35,71,1,131,131,131,164,269,313,325
STORE_0038,P,81.63,403.43,113,3,148,148,148,185,303,353,366
STORE_0039,P,385.38,333.81,101,1,116,116,116,145,237,276,287
STORE_0040,P,168.49,457.09,94,1,141,141,141,176,288,335,348
STORE_0041,P,452.54,355.08,69,3,84,84,84,105,171,199,207
STORE_0042,P,475.39,82.3,97,1,58,58,58,73,119,139,144
STORE_0043,P,260.68,472.79,100,3,130,130,130,163,267,311,322
STORE_0044,P,436.67,430.12,109,2,149,149,149,186,304,354,368
STORE_0045,P,57.82,242.73,75,2,90,90,90,113,185,215,224
STORE_0046,P,375.22,23.97,101,2,68,68,68,86,140,163,169
STORE_0047,P,291.83,120.01,98,1,97,97,97,121,198,231,240
STORE_0048,P,407.14,221.86,101,3,75,75,75,94,154,180,186
STORE_0049,P,133.97,162.61,60,2,142,142,142,178,291,339,352
STORE_0050,P,111.11,275.65,93,3,143,143,143,179,292,341,354
STORE_0051,P,239.55,145.13,77,3,73,73,73,92,150,175,181
STORE_0052,P,460.4,392.76,72,2,119,119,119,149,243,284,294
STORE_0053,P,91.54,221.64,102,1,79,79,79,99,162,188,195
STORE_0054,P,262.53,221.36,76,3,134,134,134,168,274,319,331
STORE_0055,P,152.8,473.89,98,1,61,61,61,76,124,144,150
STORE_0056,P,330.02,101.68,109,3,130,130,130,162,266,309,321
STORE_0057,P,439.23,320.18,76,2,80,80,80,100,164,191,198
STORE_0058,P,138.47,109.85,72,2,150,150,150,187,306,356,370
STORE_0059,P,204.69,294.88,112,1,126,126,126,158,258,301,312
STORE_0060,P,415.2,483.72,68,1,70,70,70,88,144,167,174
STORE_0061,P,326.5,142.18,62,2,122,122,122,153,250,291,302
STORE_0062,P,79.27,69.25,63,3,139,139,139,174,285,332,345
STORE_0063,P,49.05,30.54,95,1,137,137,137,172,281,327,340
STORE_0064,P,268.36,395.64,77,3,124,124,124,155,253,295,306
STORE_0065,P,433.93,143.84,107,3,69,69,69,86,141,165,171
STORE_0066,P,309.32,192.33,90,2,121,121,121,151,247,288,299
STORE_0067,P,241.03,463.65,84,2,125,125,125,156,254,297,308
STORE_0068,P,169.51,198.23,83,1,94,94,94,118,193,225,233
STORE_0069,P,19.84,222.11,82,1,109,109,109,137,223,260,270
STORE_0070,P,305.72,117.45,93,3,142,142,142,178,291,339,352
STORE_0071,M,332.9,349.54,143,3,555,555,555,590,1075,1429,1586
STORE_0072,M,202.67,112.85,144,3,196,196,196,209,380,506,561
STORE_0073,M,115.99,306.75,153,5,136,136,136,144,263,350,388
STORE_0074,M,353.5,0.0,169,3,182,182,182,193,352,467,519
STORE_0075,M,247.69,92.57,134,4,391,391,391,416,758,1007,1118
STORE_0076,M,374.49,363.34,148,5,612,612,612,651,1186,1576,1750
STORE_0077,M,424.87,20.14,142,3,401,401,401,426,776,1032,1145
STORE_0078,M,327.69,22.76,177,4,552,552,552,587,1070,1422,1579
STORE_0079,M,115.37,390.18,158,5,426,426,426,453,826,1098,1218
STORE_0080,M,260.19,500.0,131,5,546,546,546,580,1057,1405,1560
STORE_0081,M,36.02,57.46,145,3,154,154,154,163,298,396,439
STORE_0082,M,0.0,243.28,137,4,268,268,268,285,519,689,765
STORE_0083,M,292.97,203.47,156,4,408,408,408,434,791,1051,1166
STORE_0084,M,127.07,106.15,180,5,723,723,723,769,1401,1862,2067
STORE_0085,M,109.17,162.47,123,3,204,204,204,217,395,525,583
STORE_0086,M,162.19,353.1,150,5,328,328,328,349,635,844,937
STORE_0087,M,154.41,103.06,121,4,685,685,685,728,1327,1763,1957
STORE_0088,M,350.58,287.62,148,5,613,613,613,652,1187,1578,1752
STORE_0089,M,140.3,225.5,168,5,155,155,155,165,300,399,443
STORE_0090,M,336.72,298.2,133,3,267,267,267,284,518,688,764
STORE_0091,M,355.17,239.67,180,5,245,245,245,260,474,629,699
STORE_0092,M,173.02,204.4,159,4,395,395,395,420,766,1018,1130
STORE_0093,M,400.85,42.4,155,5,351,351,351,374,681,905,1004
STORE_0094,M,365.4,39.57,154,5,444,444,444,472,861,1144,1270
STORE_0095,M,139.82,113.19,144,4,377,377,377,401,731,971,1078
STORE_0096,G,322.98,87.38,220,6,810,810,810,810,1417,2072,2496
STORE_0097,G,230.18,36.52,204,6,920,920,920,920,1610,2355,2837
STORE_0098,G,271.86,0.0,217,5,1158,1158,1158,1158,2027,2964,3571
STORE_0099,G,29.66,398.97,218,6,508,508,508,508,888,1299,1565
STORE_0100,G,312.71,0.0,203,5,695,695,695,695,1217,1779,2143
