store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,386.27,304.5,75,2,102,102,102,128,209,244,253
STORE_0002,P,481.59,12.18,75,1,92,92,92,115,189,220,228
STORE_0003,P,220.58,276.47,93,2,134,134,134,167,273,318,331
STORE_0004,P,159.42,169.14,86,2,111,111,111,138,226,264,274
STORE_0005,P,384.63,270.64,96,1,100,100,100,125,205,239,248
STORE_0006,P,425.16,342.42,81,3,105,105,105,131,215,250,260
STORE_0007,P,236.29,470.48,102,1,120,120,120,150,245,286,297
STORE_0008,M,500.0,112.75,177,3,513,513,513,546,995,1322,1467
STORE_0009,M,106.95,451.85,147,3,310,310,310,329,600,798,885
STORE_0010,G,60.35,452.13,213,6,1413,1413,1413,1413,2472,3615,4355
