store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,223.36,269.65,84,3,106,106,106,132,216,252,262
STORE_0002,P,218.54,306.87,78,1,116,116,116,145,238,277,287
STORE_0003,P,0.74,268.53,95,2,68,68,68,86,140,163,169
STORE_0004,P,157.84,197.46,87,2,90,90,90,113,185,215,223
STORE_0005,P,60.59,284.32,83,1,121,121,121,151,248,289,300
STORE_0006,P,156.46,448.44,97,1,56,56,56,70,115,134,139
STORE_0007,P,36.95,346.11,91,1,122,122,122,152,249,290,301
STORE_0008,P,165.66,495.99,60,1,102,102,102,127,208,243,252
STORE_0009,P,230.41,177.94,83,3,85,85,85,106,173,202,210
STORE_0010,P,263.58,17.72,110,2,112,112,112,140,229,266,276
STORE_0011,P,145.02,113.32,86,3,62,62,62,78,127,148,153
STORE_0012,P,333.07,311.33,77,1,123,123,123,153,251,292,303
STORE_0013,P,429.42,99.31,84,3,78,78,78,98,160,186,194
STORE_0014,P,209.59,154.53,79,1,52,52,52,65,106,124,128
STORE_0015,P,29.59,69.84,104,1,118,118,118,147,241,281,291
STORE_0016,P,268.05,90.52,87,2,59,59,59,73,120,139,145
STORE_0017,P,434.45,453.04,91,2,67,67,67,84,137,159,165
STORE_0018,P,259.64,475.43,82,2,124,124,124,156,254,296,308
STORE_0019,P,264.44,205.38,108,1,112,112,112,141,230,268,278
STORE_0020,P,169.74,289.92,93,3,56,56,56,70,115,134,139
STORE_0021,P,481.35,383.96,101,2,51,51,51,63,103,121,125
STORE_0022,P,393.95,465.17,84,3,107,107,107,134,219,256,265
STORE_0023,P,469.7,63.96,94,1,55,55,55,69,112,131,136
STORE_0024,P,448.56,272.91,81,2,114,114,114,143,233,271,282
STORE_0025,P,192.76,472.26,95,2,83,83,83,103,169,197,205
STORE_0026,P,264.96,371.99,70,2,77,77,77,96,157,183,190
STORE_0027,P,54.43,315.01,80,1,122,122,122,153,250,291,302
STORE_0028,P,229.1,225.71,77,1,133,133,133,167,272,317,330
STORE_0029,P,315.77,266.11,108,1,74,74,74,93,152,177,184
STORE_0030,P,339.18,436.5,101,1,136,136,136,170,279,325,337
STORE_0031,P,393.41,294.09,93,3,94,94,94,118,193,225,233
STORE_0032,P,34.61,448.62,103,2,81,81,81,101,165,192,200
STORE_0033,P,132.94,448.57,73,3,90,90,90,112,183,213,222
STORE_0034,P,79.78,326.69,84,3,150,150,150,187,306,357,371
STORE_0035,P,177.25,277.03,83,3,96,96,96,120,197,229,238
STORE_0036,P,353.54,383.49,71,3,116,116,116,145,237,277,287
STORE_0037,P,38.52,78.77,90,3,145,145,145,181,296,345,358
STORE_0038,P,287.42,48.48,76,2,98,98,98,122,200,233,242
STORE_0039,P,149.1,153.35,84,1,117,117,117,146,238,277,288
STORE_0040,P,11.92,315.17,81,2,78,78,78,98,159,186,193
STORE_0041,P,421.25,187.17,100,2,134,134,134,167,274,319,331
STORE_0042,P,135.84,30.4,76,2,65,65,65,81,133,155,161
