store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,242.43,217.18,77,3,144,144,144,180,294,343,356
STORE_0002,P,429.51,40.82,74,3,59,59,59,74,122,142,147
STORE_0003,P,313.35,411.16,116,1,80,80,80,101,164,192,199
STORE_0004,P,41.81,225.89,88,3,141,141,141,176,288,335,348
STORE_0005,P,76.6,20.63,82,3,75,75,75,94,154,179,186
STORE_0006,P,12.05,132.35,75,1,77,77,77,97,158,185,192
STORE_0007,P,143.85,71.58,109,1,137,137,137,171,280,326,339
STORE_0008,P,81.47,224.58,92,3,144,144,144,181,295,344,357
STORE_0009,P,213.82,244.91,65,1,89,89,89,112,183,213,221
STORE_0010,P,82.45,478.69,88,3,132,132,132,165,270,314,327
STORE_0011,P,381.38,358.9,102,1,101,101,101,127,207,242,251
STORE_0012,P,118.08,264.98,91,3,104,104,104,130,212,247,257
STORE_0013,P,304.86,112.45,91,3,96,96,96,120,196,229,238
STORE_0014,P,149.01,326.93,112,2,125,125,125,156,256,298,309
STORE_0015,M,285.94,0.0,153,4,287,287,287,305,557,740,821
STORE_0016,M,17.24,242.53,133,3,684,684,684,727,1326,1762,1956
STORE_0017,M,98.13,364.77,142,3,263,263,263,279,509,677,751
STORE_0018,M,142.87,81.21,160,5,602,602,602,640,1167,1551,1722
STORE_0019,M,327.36,463.78,146,3,155,155,155,165,300,398,442
STORE_0020,G,0.0,387.68,207,6,591,591,591,591,1034,1511,1821
