store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,421.11,212.39,60,1,145,145,145,182,297,346,359
STORE_0002,P,70.86,309.18,72,3,78,78,78,98,160,186,194
STORE_0003,P,23.91,42.95,66,3,142,142,142,177,290,337,350
STORE_0004,P,172.12,285.02,98,3,127,127,127,158,259,302,313
STORE_0005,P,246.65,132.99,96,1,119,119,119,149,244,284,295
STORE_0006,P,412.79,136.16,86,1,133,133,133,166,271,316,328
STORE_0007,P,195.62,376.92,74,1,142,142,142,177,290,337,350
STORE_0008,P,179.83,403.27,68,2,126,126,126,158,258,301,312
STORE_0009,P,28.2,108.47,71,1,137,137,137,172,281,327,340
STORE_0010,P,125.96,258.24,80,3,110,110,110,138,225,262,272
STORE_0011,P,183.53,166.7,73,3,107,107,107,133,218,254,264
STORE_0012,P,15.06,455.72,96,2,100,100,100,125,205,239,248
STORE_0013,P,194.29,455.67,63,3,97,97,97,122,199,232,241
STORE_0014,P,394.44,29.91,88,1,114,114,114,142,233,271,281
STORE_0015,P,212.63,254.42,81,1,52,52,52,65,107,124,129
STORE_0016,P,450.36,118.3,83,1,111,111,111,138,226,264,274
STORE_0017,P,265.27,256.3,120,2,88,88,88,110,181,210,218
STORE_0018,P,94.93,311.51,86,3,61,61,61,76,124,145,150
STORE_0019,P,219.26,459.32,70,2,137,137,137,172,281,327,339
STORE_0020,P,374.72,345.99,77,2,96,96,96,120,196,228,237
STORE_0021,P,453.25,168.04,86,3,63,63,63,79,128,150,155
STORE_0022,P,372.71,136.63,86,1,90,90,90,113,185,215,224
STORE_0023,P,157.5,281.61,120,3,102,102,102,127,208,242,251
STORE_0024,P,184.12,358.56,74,1,103,103,103,129,211,245,255
STORE_0025,P,38.8,51.7,77,3,85,85,85,106,173,201,209
STORE_0026,P,462.47,251.25,97,1,96,96,96,120,196,228,237
STORE_0027,P,418.1,172.75,70,2,144,144,144,179,293,342,355
STORE_0028,P,304.76,155.76,95,1,123,123,123,154,252,294,305
STORE_0029,P,25.45,419.06,84,2,73,73,73,91,149,174,181
STORE_0030,P,440.78,391.28,92,3,146,146,146,183,298,348,361
STORE_0031,P,212.15,2.4,98,1,127,127,127,158,259,301,313
STORE_0032,P,200.82,226.4,60,2,134,134,134,167,274,319,331
STORE_0033,P,336.42,72.47,103,1,130,130,130,162,265,309,320
STORE_0034,P,40.32,198.67,73,2,96,96,96,119,195,228,236
STORE_0035,P,172.36,350.77,96,2,149,149,149,187,306,356,370
STORE_0036,P,459.9,323.61,90,2,126,126,126,157,257,299,311
STORE_0037,P,371.02,445.41,93,1,71,71,71,89,145,169,175
STORE_0038,P,422.5,383.76,76,2,88,88,88,110,180,210,218
STORE_0039,P,465.58,131.71,85,2,142,142,142,177,289,337,350
STORE_0040,P,470.51,345.37,93,3,119,119,119,149,244,284,295
STORE_0041,P,310.05,178.39,75,2,107,107,107,134,219,255,264
STORE_0042,P,443.71,479.07,99,2,120,120,120,149,244,285,296
STORE_0043,P,257.43,453.98,119,2,61,61,61,76,124,145,150
STORE_0044,P,432.06,312.26,100,2,84,84,84,105,172,201,209
STORE_0045,P,492.77,48.13,94,3,114,114,114,143,234,273,283
STORE_0046,P,402.45,144.86,92,3,50,50,50,63,103,120,125
STORE_0047,P,465.78,393.88,69,3,62,62,62,78,127,148,154
STORE_0048,P,40.34,62.76,82,2,126,126,126,157,257,299,311
STORE_0049,P,335.5,15.54,75,1,78,78,78,97,159,185,192
STORE_0050,P,233.45,406.35,67,1,75,75,75,94,153,179,185
STORE_0051,P,139.36,280.29,86,1,116,116,116,145,237,276,287
STORE_0052,P,57.8,32.96,99,3,99,99,99,124,202,236,245
STORE_0053,P,115.64,195.03,95,1,107,107,107,134,219,255,265
STORE_0054,P,93.5,191.45,82,1,91,91,91,114,186,217,225
STORE_0055,P,263.82,377.56,91,2,89,89,89,112,183,213,221
STORE_0056,P,445.4,220.97,71,3,127,127,127,159,260,303,314
STORE_0057,P,427.06,431.2,88,1,122,122,122,152,249,291,302
