store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,468.79,374.39,82,1,113,113,113,142,231,270,280
STORE_0002,P,111.73,168.42,119,2,114,114,114,143,234,273,283
STORE_0003,P,187.91,119.07,87,2,54,54,54,68,111,130,135
STORE_0004,P,245.39,38.46,91,2,140,140,140,175,286,334,346
STORE_0005,P,422.21,94.47,100,2,117,117,117,146,239,278,289
STORE_0006,P,372.9,226.96,105,3,61,61,61,77,126,146,152
STORE_0007,P,125.39,26.91,87,3,146,146,146,182,298,348,361
STORE_0008,P,252.59,59.23,93,2,95,95,95,119,194,226,235
STORE_0009,P,93.41,418.34,98,3,106,106,106,132,216,251,261
STORE_0010,P,188.72,454.97,90,1,147,147,147,183,300,349,363
STORE_0011,P,487.09,359.06,95,3,89,89,89,111,181,211,219
STORE_0012,P,61.12,484.48,69,2,67,67,67,84,137,160,166
STORE_0013,P,53.76,148.88,89,3,53,53,53,67,109,127,132
STORE_0014,P,361.87,177.07,89,2,82,82,82,103,168,196,204
STORE_0015,P,192.33,254.49,75,2,130,130,130,163,266,310,322
STORE_0016,P,67.19,298.19,94,3,146,146,146,182,298,347,361
STORE_0017,P,221.59,275.45,120,2,55,55,55,68,112,130,135
STORE_0018,P,158.71,253.97,96,1,79,79,79,99,161,188,195
STORE_0019,P,491.61,477.36,73,2,129,129,129,162,264,308,320
STORE_0020,P,287.11,217.94,112,3,126,126,126,157,257,300,311
STORE_0021,P,308.56,7.11,83,2,88,88,88,111,181,211,219
STORE_0022,P,79.31,48.6,86,2,120,120,120,149,244,285,295
STORE_0023,P,475.08,114.0,81,2,147,147,147,184,301,351,364
STORE_0024,P,94.55,122.99,98,1,126,126,126,157,257,299,311
STORE_0025,P,424.54,345.11,103,3,117,117,117,146,239,279,290
STORE_0026,P,41.56,382.51,69,3,92,92,92,114,187,218,226
STORE_0027,P,285.0,472.69,80,2,108,108,108,135,221,258,268
STORE_0028,P,78.39,446.62,74,2,77,77,77,96,157,182,189
STORE_0029,P,279.83,251.16,91,2,68,68,68,86,140,163,169
STORE_0030,P,55.89,203.98,106,2,81,81,81,102,166,194,201
STORE_0031,P,231.78,276.11,99,1,52,52,52,65,106,123,128
STORE_0032,P,211.48,432.69,84,3,133,133,133,166,272,317,329
STORE_0033,P,188.33,206.57,118,2,62,62,62,77,127,147,153
STORE_0034,P,123.89,255.79,77,2,92,92,92,115,187,218,227
STORE_0035,P,94.47,107.72,85,3,85,85,85,106,173,202,209
STORE_0036,M,38.29,0.0,169,5,607,607,607,645,1175,1562,1734
STORE_0037,M,218.28,102.4,180,5,598,598,598,635,1158,1539,1708
STORE_0038,M,159.66,105.16,153,3,171,171,171,182,331,440,489
STORE_0039,M,275.66,11.66,137,3,741,741,741,788,1435,1907,2117
STORE_0040,M,387.05,315.03,164,4,551,551,551,586,1067,1418,1574
STORE_0041,M,26.84,102.13,169,5,355,355,355,377,687,914,1014
STORE_0042,M,418.6,263.35,144,3,397,397,397,422,768,1021,1134
STORE_0043,M,302.01,133.03,167,5,356,356,356,378,689,915,1016
STORE_0044,M,127.3,218.79,173,5,238,238,238,253,461,612,680
STORE_0045,M,271.83,67.7,133,4,326,326,326,346,631,838,931
STORE_0046,M,287.41,164.76,159,5,364,364,364,387,705,937,1040
STORE_0047,M,155.43,0.0,153,4,380,380,380,404,736,979,1086
STORE_0048,G,60.43,259.72,230,6,608,608,608,608,1063,1554,1873
STORE_0049,G,61.67,352.9,190,6,1452,1452,1452,1452,2542,3716,4477
STORE_0050,G,500.0,161.83,196,6,1243,1243,1243,1243,2175,3181,3832
