store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,91.92,351.38,70,3,50,50,50,63,103,120,124
STORE_0002,P,213.79,51.6,76,1,91,91,91,114,187,217,226
STORE_0003,P,86.37,231.3,76,3,129,129,129,162,264,308,319
STORE_0004,P,292.99,73.82,109,3,131,131,131,163,267,311,323
STORE_0005,P,345.49,176.84,90,3,107,107,107,134,220,256,266
STORE_0006,P,326.03,315.25,75,3,103,103,103,129,211,246,255
STORE_0007,P,34.08,64.87,72,2,63,63,63,78,128,150,155
STORE_0008,M,0.0,51.7,157,4,558,558,558,593,1080,1436,1594
STORE_0009,M,0.0,40.49,170,3,271,271,271,288,524,697,773
STORE_0010,G,434.01,50.44,185,6,811,811,811,811,1419,2075,2500
