store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,177.54,274.92,104,2,98,98,98,123,201,234,243
STORE_0002,P,497.93,238.49,83,1,139,139,139,174,285,332,345
STORE_0003,P,233.12,405.19,83,2,86,86,86,107,175,204,211
STORE_0004,P,104.16,88.31,113,2,148,148,148,185,302,352,366
STORE_0005,P,189.12,269.78,83,3,103,103,103,129,210,245,254
STORE_0006,P,46.91,413.07,97,1,116,116,116,145,238,277,287
STORE_0007,P,233.84,326.91,73,1,99,99,99,124,203,237,246
STORE_0008,M,147.06,320.24,139,3,211,211,211,224,408,542,602
STORE_0009,M,483.88,409.67,149,4,572,572,572,608,1109,1474,1636
STORE_0010,G,167.0,458.14,222,6,623,623,623,623,1091,1595,1921
